sev,group,id,lens,kind,conf,title,location,evidence,rec
P1,,est-02,Money pipeline: estimate → send → contract/agreement → signa,bug,probable,"Publish / → Contract / Mark-as-Sent read window.currentProject, not the open estimate's own project","index.html — <script id=""cr-epub-script""> handlePublishClick(); <script id=""cr-e2c-script""> handleClick(); <script id=""cr-ess-script""> hookPublish(); reachable via creOpenSaved() in <script id=""cr-estimates-script"">","cr-epub handlePublishClick: `var projectBefore = window.currentProject` then `loadForProject(projectBefore.id)`; cr-e2c handleClick: `var project = window.currentProject`; cr-ess hookPublish: `var project = window.currentProject`. But CardinalEstimates.openEditor() never writes window.currentProject, and the Estimates screen (Menu → Estimates → creOpenSaved) opens any saved estimate via `est.openEditor(r.data.project_id, r.data)` without touching it. With a stale currentProject, pickEstimate(rows, openId) finds no id match in the wrong project's rows and falls back to rows[0] — publishing/contracting the WRONG client's newest estimate; with none open, `projectBefore.id` throws and the rep sees 'Publish failed: Cannot read properties of null'. The correct pattern exists one function above: openPreview() does `window.CardinalEstimates.currentProject() || window.currentProject`.","Capture `window.CardinalEstimates.currentProject() || window.currentProject` (openPreview's own pattern) in all three modules before the save click, and have pickEstimate refuse the rows[0] fallback when the project ids disagree — a wrong-client contract is worse than an error message."
P1,,fwd-01,Feature gaps & revamp opportunities (forward-looking lens) —,dead-end,confirmed,The Money In / Commissions arc has zero adoption — every money table is empty,"DB tables collections/commissions/draws/crew_payments; index.html Reports module (renderRptProd, rptProfitCard, rptCk(p).job_cost); api/commissions-digest.js","Live DB 21 Aug: collections 0 rows, commissions 0, draws 0, crew_payments 0 — twelve days after builds 650-652 shipped. The Friday commissions-digest cron fires against nothing. Meanwhile the Reports profit table computes margin from a hand-typed checklist field: `var c = Number(rptCk(p).job_cost)` and `rptProfitCard` hides itself when no job carries one (5 of 55 projects have job_cost).","Don't build more money features — put the write where Theo already stands: when an admin marks a job Invoiced/Closed or records a deposit, prompt 'log this check?' into collections (admin-only, so the no-money-on-Production fence holds). The commission trigger and Friday digest then start working by themselves."
P1,,fwd-02,Feature gaps & revamp opportunities (forward-looking lens) —,dead-end,confirmed,Community pipeline still parked 15/15 at Lead ten days after the fix that unparked it,"DB projects (checklist.lead.claim_type='community'); cr-cc community hub (chDueIso / check_back_at / bid.submitted_at, build 710); api/digest.js (community absent)","Live DB 21 Aug: all 15 projects with checklist.lead.claim_type='community' are at stage Lead. Build 710 (11 Aug) shipped 'Mark it submitted' precisely because CR-COM-004 measured 16/16 at Lead with 3 past bid due date — and the distribution has not moved since. bid_due_at exists on 13 jobs and check_back_at drives the hub's chase clock, but no notification channel carries either; they speak only when someone opens the Community hub.","Treat this as a notification gap, not another UI build: add community bids due / overdue / check-back-today to the morning digest beside the 784 stale-estimates section. Cause (no bids sent vs button unused) is Theo's to confirm — ask before building more machinery."
P1,hub-doors,com-rc-03,Community CRM - history and redesign diagnosis,usability,confirmed,"The hub is counters, not next actions - and its headline counter is false by construction",index.html cr-ch2-script function compute() and the KPI strip render; OPEN_ITEMS.md build-711 note ('Waiting on you is still the open one'),"Confirmed at 965 by reading compute() in cr-ch2-script: 'all: projects()' has no stage filter and the KPI renders '<div class=""k"">Open bids</div>...' + d.all.length - it counts Lost and Closed forever and will read 16 until a job is deleted (CR-COM-022 core, listed open after the port). 'Waiting on you' builds queues only for Prospect/Approved/Completed, so with the whole book at Lead it says 'Nothing waiting on you' while three bids sit past their due date unsent (recorded at 711; Theo declined the fourth queue that round - tab-order only). The 710 measurement is the damning one: 16/16 community jobs at Lead, 3 past due, none ever advanced, while retail moved jobs daily on the same machinery - the hub never surfaced that as work to do.","Make every hub number a filtered, tappable queue whose count moves when work moves: 'Open bids' = stages actually open; re-offer the 'Send the bid' queue (Lead at/past bid_due_at) with the 3-past-due evidence in hand - Theo declined it once as scope, not as a settled decision."
P1,,ins-01,Insurance/Claims CRM end to end: claim creation → scope of l,bug,confirmed,Supplement Desk signs non-admins out of the entire CRM (shared Supabase session + signOut on the admin check),"supplement.html showApp() (the `sb.auth.signOut()` after the is_cardinal_admin check) + index.html #navMenu Insurance section (`data-nav=""desk""` row, ungated) + the navopt dispatch `else if(nav === 'desk'){ window.location.href = '/supplement.html'; }`","index.html menu row `<button class=""navopt"" data-nav=""desk"">Supplement Desk</button>` is visible to every user in the insurance portal (hideAdminItemsForNonAdmin() hides only reports/feed/settings; syncPortalSections() gates the Insurance section by portal, not role). Tapping it runs `window.location.href='/supplement.html'` — same origin as the app. supplement.html builds its client with `createClient(SUPABASE_URL, SUPABASE_ANON_KEY)` (default storageKey) and index.html's main client is also default (`var sb = TEAM ? window.supabase.createClient(...)`), so both read the SAME stored session. showApp() then runs `var adm = await sb.rpc('is_cardinal_admin'); if(adm.error || adm.data !== true){ ... await sb.auth.signOut(); }` — supabase-js v2 signOut defaults to scope 'global', revoking the user's refresh tokens everywhere and clearing the shared token. Verified live: team_profiles has 7 non-admin accounts (curtis/scottie production, 5 sales) who all fail is_cardinal_admin. The admin-facing 'Sign out' button in the Desk header does the same to admins. This is exactly why the Visualizer got its own `storageKey:'cr-viz-auth'`; the Desk never did.",Never signOut a shared session on a failed admin check — show the 'admin-only' message and a Back-to-app link instead. Either give the Desk its own storageKey (the cr-viz-auth precedent) or hide/badge the menu row for non-admins (the role is already knowable via the same rpc the Desk calls).
P1,,ins-02,Insurance/Claims CRM end to end: claim creation → scope of l,dead-end,confirmed,The Supplement Desk has no way back to the app — a hard dead-end in the installed PWA,"supplement.html `<header class=""sd-hd"">` (themeBtn/outBtn only) and the absence of any anchor back to '/'","supplement.html's header (`<header class=""sd-hd"">`) carries exactly two buttons: Theme and Sign out. Grep for href/location.href/history.back across the file: zero navigation out (the only 'href' hit is the letter sanitizer's attribute filter). The app deliberately navigates with location.href, not window.open ('no tab inside an installed PWA' — 679's rule), so in standalone mode there is no browser chrome, no back button, and no link home; the only escapes are an undiscoverable edge-swipe or the Sign out button — which (ins-01) kills the shared CRM session.","Add a 'Back to Cardinal' wordmark/link in the Desk header pointing at '/', matching the studio/desk pattern of a persistent home affordance. One anchor tag fixes the dead-end."
P1,,ix-01,"Interaction states app-wide — empty, loading, error, confirm",data-integrity,confirmed,"Offline outbox silently drops server-refused writes, then flashes green 'All changes synced'","index.html <script id=""cr-outbox-script""> — flush() ('dropping a refused write'), badge() (the `_lastPending > 0` done-flash), networkish(); punch photo path: flushPhotos() ('dropping a photo that was refused') in the punch-card block near the crToastErr('Could not save this photo…') site","In cr-outbox-script flush(): a non-networkish failure hits `console.warn('[outbox] dropping a refused write:', row.table, r.error.message)` then `del(row.id)` — no toast, no badge state, no window.report. badge() then sees the queue drained and, because `_lastPending > 0` (only the logout wipe resets it, and the flash does not check `sentSome`), paints the 'done' state: 'All changes synced' in green for 2.6s. The punch photo outbox has the identical shape: flushPhotos() logs '[photo-outbox] dropping a photo that was refused:' and pDel()s the blob. networkish() matches only /load failed|failed to fetch|networkerror|network request failed|timed? ?out|fetch/i — so an RLS refusal, a constraint failure, or a 401 'JWT expired' (plausible on the very first flush after the 'online' event, racing the token refresh after a long offline stretch) all classify as 'refused' and are deleted. The optimistic cache overlay (patchesFor) stops the moment the entry is deleted, so the edit reverts on the next reload with zero explanation.","Add a fifth badge state — red 'N changes could not sync — tap to see' — instead of deleting refused entries: move them to a dead-letter list the tap opens (record name, field, reason, Retry/Discard). At minimum gate the green flash on `sentSome && nothing dropped`, route the drop through showError()/window.report so it is at least visible and logged, and retry once after supabase-js finishes its token refresh before classifying a 401 as a refusal. A crew that queues edits on a roof must never watch a green 'All changes synced' while an edit was thrown away."
P1,,ix-02,"Interaction states app-wide — empty, loading, error, confirm",bug,confirmed,"Claims, Coach and auto-stage toasts are painted behind #pwaNav in the installed app — saves, deletes and their errors show nothing on the phone","index.html <style> rules for #cr-claims-mount .cr-c-toast, #cr-coach-mount .cr-k-toast, .cr-ess-toast, .cr-toast; toast() functions in the claims block, cr-coach block, cr-ess block; #pwaNav base rule + body.standalone #pwaNav{z-index:9990 !important}","`#cr-claims-mount .cr-c-toast{position:fixed;bottom:24px;…z-index:300}` and `#cr-coach-mount .cr-k-toast{…bottom:24px;…z-index:300}` and `.cr-ess-toast{…bottom:calc(24px + env(safe-area-inset-bottom));z-index:9700}`. `#pwaNav` is bottom:0, ~60px tall plus safe-area (padding 8px + 44px controls per build 944), opaque gradient background, and `body.standalone #pwaNav{z-index:9990 !important}`. A toast at bottom:24px sits entirely inside that band and z 300/9700 < 9990, so in the installed PWA the nav paints over it. The claims module routes 'Saved', 'Claim created', 'Deleted', and 'Could not delete: …' through this toast; cr-ess announces automatic pipeline moves ('Pipeline moved to <b>Approved</b>') the same way. In a browser tab (#pwaNav display:none) they show, which is why build 733's 'all view-scoped and all working, none touched' audit passed — it was not measured under body.standalone. The estimates '.cr-toast' (bottom:80px, no safe-area term) is also partially covered on phones with a home indicator (band ≈94px there).",Route these module toasts through the app-wide crToast/window.toast (which already reserves 76px+safe-area under body.standalone and sits at z 99999) — build 735 already adopted the window.toast name for exactly this migration; or copy #crToasts' body.standalone offset onto each. Claims is a whole CRM whose only save/error feedback is currently invisible on the device Theo and the reps actually use.
P1,jobmenu,com-rc-05,Community CRM - history and redesign diagnosis,design,confirmed,The black card is a facade over the retail project page - the 'flip' Theo can feel is the architecture,index.html cr-cc-script function syncJobMenu (the '#jaGrid .jatile' selector and the suspendForTab branch); main markup button#contactedBtn + its stage-gated display and click handler,"Confirmed at 965: syncJobMenu() in cr-cc-script still builds the community Job Menu by mirroring '#jaGrid .jatile' - the grid the file's own build-609 comment calls legacy/hidden - so community inherits retail's tile census and still lacks the doors that live only on the modern grid (CR-COM-003, 'Job Menu missing Documents' open in OPEN_ITEMS). Its click handler suspends for everything except comms/board/photos: 6 of 9 tiles drop the takeover and land on shared #tab-* chrome in the app's standard skin (kept 'by necessity' at 709 - there is no view-swap opener for them). And #contactedBtn - a retail button reading 'Contacted -> Prospect', shown whenever stage === 'Lead' - is still in the markup with its retail-worded handler, live during any suspend (710-recon item 1, no fix in the log through 965). The cream face is gone since 709, but the seam that produced the black<->cream disorientation is intact; it now flips black<->retail-standard instead.","Rebuild the Job Menu from the live route table instead of the dead grid (adds Documents/Tasks/etc. and drops the 450ms polling retry); per-CRM gate or relabel the suspended surfaces' retail controls, starting with #contactedBtn; longer term see the extraction suggestion - only a real page boundary removes the flip entirely."
P1,jobmenu,com965-05,"Community CRM (hub cr-ch2, black card cr-cc, New Bid cr-nbid",usability,confirmed,"CR-COM-003 STILL OPEN: the Job Menu mirrors the retired #jaGrid — 9 tiles against the live grid's 13, and Contracts still routes to Estimates","index.html <script id=""cr-cc-script"">: syncJobMenu() ('#jaGrid .jatile'); main block: #jaGrid renderer (tile('📜','Contracts',…,'estimates')) vs renderAcxOverview's jt() [data-jm] grid","syncJobMenu() at 965 still reads `document.querySelectorAll('#jaGrid .jatile')`. #jaGrid still renders 9 tiles (Communications/Appointments/Photos/Estimates/Contracts/Inspections/Materials/Checklists/Punch Outs) and its Contracts tile is `tile(…,'Contracts', contracts, 'estimates')` — data-ja routes to the Estimates tab (652's fix landed only on the live grid). The live [data-jm] grid has 13 tiles incl. Notifications, Tasks, Measurements, Documents, Contracts (correctly routed), Work Orders, plus Payment Information AND Money In & Commissions rows. Community therefore still has no door to Documents (the screen that emails the bid to the partner), Tasks, Measurements, Notifications, or Money In & Commissions; only the 705 payments tile was hand-added.",Point syncJobMenu at the live grid's definition (or share one tile manifest) so Community gets the same 13 doors and the correct Contracts route; drop the 450ms polling mirror once it reads a data structure instead of the DOM.
P1,partner-id,com965-04,"Community CRM (hub cr-ch2, black card cr-cc, New Bid cr-nbid",data-integrity,confirmed,"CR-COM-008 STILL OPEN: partner identity in three shapes, 4 live jobs still name-drifted, and the bid-email guardrail still keys on partner_id only","index.html <script id=""cr-cpartners-script"">: setPartnerForProject(); main block: #ldPartner markup + lead save (partner:), senddoc flow (_pid = _lead.partner_id); <script id=""cr-ch2-script"">: partnerOf()","setPartnerForProject() still writes `ck.lead.partner_id` ONLY (never partner_name), while the hub's partnerOf() reads `l.partner_name || 'No partner recorded'` — attach via the card's Partner section and the hub says no partner. The New Lead form still writes a bare `partner:` string from the hardcoded 6-option #ldPartner select (not the roster); no community screen reads it. Live DB 21 Aug: 4 of 13 id-carrying jobs have partner_name ≠ the roster name for their partner_id (the DHRN rename drift, unrepaired since 10 Aug); 2 jobs have neither id nor name. The senddoc guardrail refuses/looks up on `_lead.partner_id` alone — a name-only job skips both the refusal and the partner default and falls through to prompt() defaulting to pr.email, the homeowner.",Make setPartnerForProject write partner_name beside partner_id (and clear both together); backfill the 4 drifted rows and the 2 orphans once; replace #ldPartner's hardcoded list with the roster picker; resolve partner display through id→roster with name as fallback everywhere.
P1,,prod-01,"Production workflow end to end at build 965 — hub, punch car",data-integrity,confirmed,"Two scheduling systems never reconcile: a magnet move changes the crew date but not the calendar, the Schedule Board, or the printed Field Ticket","index.html — rescheduleWorkOrder / createWorkOrder (main block, beside openWorkOrderPicker); cr-pb-script eventsFor()/schedFor(); adb.create + __apptMayAdvanceStage; cr-disp-script render()/byCrewDay","eventsFor() in cr-pb-script reads only cacheAppts (kind 'job'/'drop') plus punchRows — never crew_work_orders; the comment at schedFor says ""schedFor reads the REAL schedule: appointments of kind 'job'"". rescheduleWorkOrder() updates only crew_work_orders.scheduled_on (guards .neq('status','superseded').is('completed_on',null)) — it writes no appointment, advances no stage, and never touches the WO document (report_id HTML is frozen with the old 'Scheduled' row). createWorkOrder likewise inserts scheduled_on with no appointment. Meanwhile __apptMayAdvanceStage (783) and blockerFor (766) hang exclusively off appointments. So: book Tuesday on the Schedule Board, dispatch the crew, move the magnet to Thursday — the Magnet Board says Thursday; the hub month calendar, day agenda, Schedule Board and the crew's printed ticket all still say Tuesday; nothing flags the disagreement. Conversely a day placed only via arm-and-place (949) never appears on any production calendar and never advances Approved→Scheduled.","Pick one owner of the build day or bridge them: when rescheduleWorkOrder succeeds, offer to move (or create) the matching kind-'job' appointment in the same gesture, and stamp the WO document's Scheduled row from the row rather than frozen HTML (or overlay it at render like data-wo fields). At minimum paint a mismatch chip on the magnet and the calendar cell when a job's WO day differs from its appointment day, so the disagreement is visible instead of silent."
P1,,rep-01,"Sales rep's world + Theo's owner tools (lead capture, Leads ",dead-end,confirmed,The per-client follow-up scheduler is buried in markup retired since build 348 — the live client profile has no follow-up control at all,"index.html main block: openFollowUp(), #contactRow markup inside #tab-overview (legacy rows comment), contactRow click handler with .fupicon closest-check","openFollowUp() (main block, near the 'follow-up reminder from profile' comment) is fully built — asks days, creates a 9:00 AM appointment on the client. Its ONLY caller is the click handler on #contactRow ('.fupicon' ⏰). #contactRow ships with style=""display:none"" under the comment 'Legacy static rows: retired by Keeper (build 348) but kept in the DOM because boot-time listeners attach to them unguarded.' Grep confirms exactly two openFollowUp references: the definition and the hidden row's handler. The only live follow-up creators are a confirm() after emailing a document ('Sent. Schedule a follow-up reminder in 3 days?') and the client-less '+ New → Reminder' prompt. The landing's own House Rule quote is 'The follow-up call is the job. The rest is paperwork.'","Put a 'Follow up' action on the live profile (the contact band or the job menu) that calls openFollowUp(), and upgrade its prompt() to a small sheet with day-chips (1/3/7/custom). The function already works; it just needs a reachable door."
